image_path,expected_decision,expected_plate,notes
data/processed/car_plate_kaggle/images/test/Cars100.png,Access Denied,WW95550,
data/processed/car_plate_kaggle/images/test/Cars109.png,Access Denied,CZI7XOD,
data/processed/car_plate_kaggle/images/test/Cars11.png,Access Denied,WOR516K,
data/processed/car_plate_kaggle/images/test/Cars111.png,Access Granted,MH20EE7598,
data/processed/car_plate_kaggle/images/test/Cars112.png,Access Granted,SHAKNBK,
data/processed/car_plate_kaggle/images/test/Cars138.png,Access Denied,TN02BL9,
data/processed/car_plate_kaggle/images/test/Cars140.png,Access Denied,CH01AN0001,
data/processed/car_plate_kaggle/images/test/Cars145.png,Access Denied,CH01AN0001,
data/processed/car_plate_kaggle/images/test/Cars15.png,Access Denied,TN21BY0166,
data/processed/car_plate_kaggle/images/test/Cars162.png,Access Denied,3952,
data/processed/car_plate_kaggle/images/test/Cars17.png,Access Granted,YSX213,
data/processed/car_plate_kaggle/images/test/Cars171.png,Access Denied,BJR216,
data/processed/car_plate_kaggle/images/test/Cars19.png,Access Granted,AFR2011,
data/processed/car_plate_kaggle/images/test/Cars198.png,Access Denied,MH01AV8866,
data/processed/car_plate_kaggle/images/test/Cars199.png,Access Denied,MH01AE8017,
data/processed/car_plate_kaggle/images/test/Cars2.png,Access Denied,PRENUP,
data/processed/car_plate_kaggle/images/test/Cars200.png,Access Denied,KA03AB3380,
data/processed/car_plate_kaggle/images/test/Cars205.png,Access Denied,NOTACOP,
data/processed/car_plate_kaggle/images/test/Cars210.png,Access Denied,MH01AE8017,
data/processed/car_plate_kaggle/images/test/Cars224.png,Access Denied,UNKNOWN,
data/processed/car_plate_kaggle/images/test/Cars226.png,Access Denied,TN19S4523,
data/processed/car_plate_kaggle/images/test/Cars255.png,Access Granted,MH20EJ0364,
data/processed/car_plate_kaggle/images/test/Cars291.png,Access Denied,KA02A6579,
data/processed/car_plate_kaggle/images/test/Cars293.png,Access Denied,GBI8TCE,
data/processed/car_plate_kaggle/images/test/Cars304.png,Access Denied,HNYCHIL3,
data/processed/car_plate_kaggle/images/test/Cars330.png,Access Denied,UNKNOWN,
data/processed/car_plate_kaggle/images/test/Cars35.png,Access Denied,AK0188,
data/processed/car_plate_kaggle/images/test/Cars357.png,Access Denied,AK0188,
data/processed/car_plate_kaggle/images/test/Cars37.png,Access Denied,FAST,
data/processed/car_plate_kaggle/images/test/Cars370.png,Access Denied,CHO1AN001,
data/processed/car_plate_kaggle/images/test/Cars376.png,Access Granted,B2228HM,
data/processed/car_plate_kaggle/images/test/Cars393.png,Access Denied,M771276,
data/processed/car_plate_kaggle/images/test/Cars398.png,Access Denied,MMN306,
data/processed/car_plate_kaggle/images/test/Cars41.png,Access Denied,YNTZDBG,
data/processed/car_plate_kaggle/images/test/Cars42.png,Access Denied,BYHM136,
data/processed/car_plate_kaggle/images/test/Cars421.png,Access Denied,UNKNOWN,
data/processed/car_plate_kaggle/images/test/Cars428.png,Access Granted,DZI7YXR,
data/processed/car_plate_kaggle/images/test/Cars49.png,Access Denied,30461C,
data/processed/car_plate_kaggle/images/test/Cars50.png,Access Denied,PUI8BES,
data/processed/car_plate_kaggle/images/test/Cars59.png,Access Denied,UNKNOWN,
data/processed/car_plate_kaggle/images/test/Cars68.png,Access Denied,BJR216,
data/processed/car_plate_kaggle/images/test/Cars85.png,Access Denied,VU63GTY,
data/processed/car_plate_kaggle/images/test/Cars88.png,Access Denied,UNKNOWN,
data/processed/car_plate_kaggle/images/test/Cars96.png,Access Denied,PGMN112,
